Nummer;Name;Land;Plz;Ort;Strasse;Telefon;Bezirk;Freigabe Verband;Freigabe Bezirk;Haftmittel;Bild;;
-601999;Testhalle 1 NUR für TESTSPIELE;D;40223;Düsseldorf;Feuerbachstraße 80;01234/56789;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: TESTEINTRAG Haftmittelfeld Schnittstelle;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-299999;Testhalle FLH;L;1234;Bascha;Testr.;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Haftmittel erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150999;Hansestraße;D;21614;Buxtehude;Hansestraße 15;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150998;Sporthalle Auf dem Delm;D;21643;Beckdorf;Waldfrieden 2;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150997;Halephagen Schule;D;21614;Buxtehude;Konopkastraße 5;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150996;Konopkastraße;D;21614;Buxtehude;Konopkastraße 7;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150995;Estebrügge;D;21635;York;Hinterstraße;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150994;Berliner Straße;D;21614;Buxtehude;Berliner Straße;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150989;HSV-Halle;D;22850;Norderstedt;Ulzburger Straße 94;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150988;HT16-Halle;D;20535;Hamburg;Sievekingdamm 7;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
